,location,company,turnstileLink,snip
1228,"Aurora, CO",University of Colorado,Post-Doctoral Fellow - Pietras Lab,
1229,"Denver, CO",ULA,DYNAMIC ENVIRON ENGINEER-RS 1,
1230,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Engineering Procurement Expeditor,
1231,"Boulder, CO 80301",Battelle,Vector-Borne Disease Ecologist,
1232,"Denver, CO 80202 (Lodo area)",HDR,"Principal, Education | Science | Tech",
1233,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Mechanical Engineer,"$57,000 - $83,000 a year (Indeed est.)"
1234,"Boulder, CO",Ball Aerospace,Technical Specialist I-Test - Program Operations (663438),
1235,"Boulder, CO","Pandora Media, Inc.","Product Manager, Analytics Services",
1236,"Boulder, CO",UCAR,JCSDA Software Engineer II - PyOOPS,"$80,000 - $85,000 a year"
1237,"Boulder, CO",Ball Aerospace,Machinist Prototype Sr - (664396),"$45,000 - $69,000 a year (Indeed est.)"
1238,"Boulder, CO",Ball Aerospace,Engineer I-Mechanical (664853),"$65,000 - $95,000 a year (Indeed est.)"
1239,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Scientific Programmer,
1240,"Broomfield, CO",Ball Aerospace,"Engineer II, Commercial Analytics Data Strategist – (664918)",
1241,"Westminster, CO",Ball Aerospace,Technician II-Harness & Wiring (HPC) (665054),"$47,000 - $60,000 a year (Indeed est.)"
1242,"Westminster, CO",Ball Aerospace,Test Technician III-Environmental Stress Screening (ESS) (66...,
1243,"Denver, CO 80014 (Heather Gardens area)",CDK Global,Sr. Implementation Consultant - Automotive Dealer Software S...,
1244,"Golden, CO 80401",National Renewable Energy Laboratory,Postdoctoral Researcher – Quantum Dot Film Fabrication and C...,
1245,"Broomfield, CO",Ball Aerospace,Industrial Security Professional I (664171) - Security Clear...,
1246,"Denver, CO 80239",Prologis,Senior Data Visualization Architect.,
1247,"Westminster, CO",Ball Aerospace,Senior Contracts Administrator (664831),
1248,"Boulder, CO",Ball Aerospace,Engineer I-System Allocation & Verification (664415),
1249,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Engineer - Space Astronomy,
1250,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Research Associate - Lab Manager,
1251,"Broomfield, CO",Ball Aerospace,Technical Specialist Senior-Mechanical (664827) - Security C...,
1252,"Littleton, CO 80121",CenturyLink,SR ANALYST,
1253,"Littleton, CO 80120",LOCKHEED MARTIN CORPORATION,"Robotics Engineer / Autonomous Systems / Littleton, Colorado",
1254,"Boulder, CO 80302",NVIDIA,Sr Deep Learning Software Engineer,
1255,"Westminster, CO",Ball Aerospace,Tactical Mission Analyst (664895),
1256,"Denver, CO",Quisitive,Azure Application Architect,
1257,"Denver, CO",ERM Group,Air Quality Field Engineer or Scientist (Associate Level),
1258,"Boulder, CO 80301","ArcherDX, INC.",Senior Scientist - IVD/CDx Assay Development (ADX-119-18),
1259,"Denver, CO 80202 (Lodo area)",KPMG,"Manager, AI in Management Analytics Consultant",
1260,"Aurora, CO",University of Colorado,"Professor, Tenure Track",
1261,"Louisville, CO 80027",Kelvin Inc.,Embedded Engineer,
1262,"Lafayette, CO",Ball Aerospace,Principal Business Process Analyst (664597),
1263,"Broomfield, CO 80021","Alteryx, Inc.","Software Engineering Team Lead, Alteryx Promote",
1264,"Denver, CO 80206 (Central East Denver area)",National Jewish Health,Bioinformatics Analyst II,
1265,"Boulder, CO",UCAR,Software Engineer/Programmer II,
1266,"Boulder, CO",Ball Aerospace,Technical Specialist Associate-Opto/Mechanical (665256),
1267,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,Engineering Procurement Expeditor,
1268,"Broomfield, CO",SWCA Environmental Consultants,"Environmental Specialist, Wetland Delineator",
1269,"Broomfield, CO 80021","Alteryx, Inc.","Contractor, Language Tester - French",
1270,"Boulder, CO",Inscripta,"Senior/Staff Computational Scientist, Bioinformatics",
1271,"Boulder, CO",Ball Aerospace,Engineer Associate - Systems Test (663815),
1272,"Broomfield, CO 80021",Honeywell,Configuration Management Specialist - Honeywell Quantum Solu...,
1273,"Boulder, CO",Inscripta,Scientist,
1274,"Boulder, CO",Ball Aerospace,Technical Specialist Associate-Test - Program Operations (66...,
1275,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,PostDoctoral Scientist in Aquatic Ecology,"$52,000 a year"
1276,"Lafayette, CO",Ball Aerospace,Management Information Systems Business Process Analyst II (...,
1277,"Boulder, CO",UCAR,Technician II or III,
1278,"Boulder, CO",UCAR,JCSDA Software Engineer II - Obs Storage,"$80,000 - $85,000 a year"
1279,"Boulder, CO",UCAR,Instrument Software Engineer II,
1280,"Littleton, CO 80121",CenturyLink,SR ANALYST,
1281,"Boulder, CO 80301",Workday,Senior / Principal Machine Learning Engineer - ML Products,
1282,"Denver, CO 80014 (Heather Gardens area)",CDK Global,Sr Implementation Consultant - Automotive Dealer Software Sa...,
1283,"Westminster, CO",Ball Aerospace,Paint Lead Technician (663819),
1284,"Boulder, CO",Ball Aerospace,QC Inspector IV-Quality Assurance (663338),
1285,"Boulder, CO",Ball Aerospace,Engineer II-Systems - Launch Segment (662743),
1286,"Greenwood Village, CO",AscendLearning LLC,Big Data Engineer,
1287,"Littleton, CO 80125",LOCKHEED MARTIN CORPORATION,Software Engineer,
1288,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,CIRES/Earth Lab Post-Doc to Study the Social and Economic Im...,
1289,"Denver, CO",Burns & McDonnell,Electrical Engineering Intern,
1290,"Boulder, CO",UCAR,Postdoctoral Fellow I-Ensemble Meteorological Dataset Develo...,
1291,"Aurora, CO",University of Colorado,"Professor, Tenure Track",
1292,"Denver, CO 80202 (Lodo area)",Kleinfelder,Water Resources Engineer,
1293,"Arvada, CO","Alliance Source Testing, LLC",Environmental Project Engineer,
1294,"Denver, CO",ULA,PROP SYS DESIGN ENGINEER-RS 3,
1295,"Denver, CO 80014 (Heather Gardens area)",CDK Global,Implementation Consultant Sr. Implementation Consultant - Au...,
1296,"Boulder, CO",UCAR,Software Engineer II,
1297,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,CIRES/NSIDC Dev Ops Administrator,
1298,"Denver, CO",Burns & McDonnell,Staff Electrical Engineer,
1299,"Boulder, CO",Ball Aerospace,Engineer Associate - Systems (664860),
1300,"Boulder, CO",Ball Aerospace,Engineer Associate-Mechanical (664896),
1301,"Boulder, CO",Ball Aerospace,Engineering Aide III - Mission & Process Analytics (662883),
1302,"Boulder, CO",Ball Aerospace,Prototype Machinist - 2nd Shift (664079),
1303,"Louisville, CO 80027",Kelvin Inc.,Systems Engineer - Louisville,
1304,"Boulder, CO","Magic Leap, Inc.","Senior Optical Engineer, Polarization & Test",
1305,"Broomfield, CO",Ball Aerospace,Program Management Team Lead (664936),
1306,"Lafayette, CO",Ball Aerospace,Business Process Analyst II (664818),
1307,"Denver, CO 80202 (Lodo area)","Kleinfelder, Inc.",Water Resources Engineer,
1308,"Denver, CO 80203 (Capitol Hill area)",Deloitte,Cognitive Machine Learning Senior Manager,
1309,"Boulder, CO",Ball Aerospace,Project Engineer I-Manufacturing (663880),
1310,"Broomfield, CO",Ball Aerospace,Senior Program Manager-National GEOINT Space (664921),
1311,"Denver, CO 80202 (Lodo area)",KPMG,"Associate, AI Engineer",
1312,"Lakewood, CO",Sealaska Corporation,Dam Safety Engineer (Instrumentation focus),
1313,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,CIRES/NCEI Software Engineer,
1314,"Westminster, CO",Ball Aerospace,Test Technician III-Environmental Stress Screening (ESS) (66...,
1315,"Boulder, CO",Ball Aerospace,Manufacturing Principal Planner (663568)-SECURITY CLEARANCE...,
1316,"Westminster, CO",Ball Aerospace,Advanced Systems Manager II (665105),
1317,"Littleton, CO 80120",LOCKHEED MARTIN CORPORATION,"Robotics Engineer Staff / Autonomous Systems / Littleton, CO",
1318,"Boulder, CO",Ball Aerospace,Technician III-Test - Program Operations (663401) Security C...,
1319,"Arvada, CO","Alliance Source Testing, LLC",Environmental Project Engineer,
1320,"Westminster, CO",Ball Aerospace,Program Manager II-Tactical Solutions (IAS Mission Area) (66...,
1321,"Boulder, CO",Ball Aerospace,Project Engineer I-Manufacturing (663880),
1322,"Westminster, CO",Ball Aerospace,Senior Test Engineer-Tactical Solutions Electro Optical Test...,
1323,"Denver, CO 80202 (Lodo area)",HDR,Instrumentation & Controls (I&C) EIT,
1324,"Boulder, CO",Ball Aerospace,Space Telescope Operations Senior Engineer (665062),
1325,"Denver, CO",Wells Fargo,Audit Analytics Leader 3,
1326,"Broomfield, CO",Ball Aerospace,Program Management Team Lead (664936),
1327,"Louisville, CO 80027",Kelvin Inc.,Test Automation Engineer,
1328,"Golden, CO 80401","Kleinfelder, Inc.",Construction Materials Testing Technician,
1329,"Westminster, CO",Ball Aerospace,2nd Shift-Paint Technician (664322),
1330,"Denver, CO",Burns & McDonnell,Assistant Civil Engineer - Manufacturing,
1331,"Louisville, CO 80027","Nexant, Inc.",Senior Project Engineer,
1332,"Broomfield, CO",SWCA Environmental Consultants,Ecological Restoration Design Manager,
1333,"Denver, CO 80202 (Lodo area)",HDR,Civil CADD Designer – Waste Sector,
1334,"Denver, CO",Quisitive,Azure Infrastructure Architect,
1335,"Louisville, CO 80027",Kelvin Inc.,Test Automation Engineer,
1336,"Denver, CO 80235",Valdez International Corporation,Dam Safety Engineer,
1337,"Boulder, CO",Ball Aerospace,Project Engineer I - Mechanical (664882),
1338,"Westminster, CO",Ball Aerospace,Program Manager II-Tactical Solutions (IAS Mission Area) (66...,
1339,"Denver, CO 80206 (Central East Denver area)",National Jewish Health,Immunology Laboratory Director,
1340,"Denver, CO",Burns & McDonnell,Staff Civil Engineer,
1341,"Centennial, CO",Pearson,Senior Python Developer - Machine Learning,
1342,"Boulder, CO 80303 (Southeast Boulder area)",University of Colorado Boulder,CIRES/NCEI Software Engineer,
1343,"Greenwood Village, CO",Ascend Learning,UI Engineer,
1344,"Westminster, CO",Ball Aerospace,Advanced Systems Manager II (665105),
1345,"Broomfield, CO 80021","Alteryx, Inc.",Sr. Software Engineer - Predictive Modeling,
1346,"Louisville, CO","WhiteWave Foods, Inc.","Senior Manager, Laboratory & Analytical Services",
1347,"Denver, CO",Wells Fargo,Audit Analytics Leader 3,
1348,"Broomfield, CO",Ball Aerospace,Proposal Manager (664848),
1349,"Boulder, CO",Ball Aerospace,Technical Specialist Associate-Test - Program Operations (66...,
1350,"Denver, CO",Burns & McDonnell,Staff Structural Engineer - Global Facilities,
1351,"Denver, CO 80202 (Lodo area)",Comcast,"Principal Engineer, Time Shifted Video Engineering Group",
1352,"Denver, CO 80203 (Capitol Hill area)",Deloitte,Tech-Telco-Media - Cognitive Machine Learning - Manager,
1353,"Boulder, CO",Ball Aerospace,Space Telescope Operations Senior Engineer (664143),
1354,"Boulder, CO",ClimaCell,"Software Engineer: Backend Linux - Boulder, CO",
1355,"Denver, CO 80203 (Capitol Hill area)",Accenture,Data Science Senior Manager (HR),
1356,"Boulder, CO",Ball Aerospace,Technician III-Test - Program Operations (663401) Security C...,
1357,"Denver, CO",Quisitive,Azure Application Architect,
1358,"Centennial, CO",Rincon Research Corporation,FPGA Engineer 3,
1359,"Boulder, CO",UCAR,Instrument Software Engineer II,
1360,"Boulder, CO",UCAR,Software Engineer/Programmer II,
1361,"Broomfield, CO 80021",Honeywell,Configuration Management Specialist - Honeywell Quantum Solu...,
1362,"Boulder, CO",Ball Aerospace,Engineer Associate-Mechanical (664896),
1363,"Broomfield, CO",SWCA Environmental Consultants,Ecological Restoration Design Manager,
1364,"Greenwood Village, CO",AscendLearning LLC,UI Engineer,
1365,"Louisville, CO 80027",Kelvin Inc.,Embedded Engineer,
1366,"Boulder, CO",ClimaCell,"Software Engineer: Backend Linux - Boulder, CO",
1367,"Golden, CO 80401",National Renewable Energy Laboratory,Postdoctoral Researcher - Computational Chemistry,
1368,"Denver, CO",Burns & McDonnell,Staff Electrical Engineer,
1369,"Denver, CO",Burns & McDonnell,Staff Civil/Pipeline Designer,
1370,"Boulder, CO",Ball Aerospace,Spacecraft Communications Subsystem Engineer I (663460),
1371,"Boulder, CO",Ball Aerospace,Technical Specialist Principal-Test - Program Operations (66...,
1372,"Aurora, CO",University of Colorado,Research Instructor (Biostatistics Analyst),
1373,"Denver, CO",Burns & McDonnell,Assistant Civil/Pipeline Designer,
1374,"Boulder, CO 80301",STAR LLC,Software Engineer,
1375,"Boulder, CO",Ball Aerospace,Engineer I-Software Quality Assurance (663959),
1376,"Boulder, CO 80301",Battelle,Java Developer IV,
1377,"Denver, CO 80202 (Lodo area)",Kleinfelder,Gas Transmission & Distribution Staff Engineer,
1378,"Denver, CO 80202 (Lodo area)",Slalom Consulting,Solution Principal - Machine Learning - Information Manageme...,
1379,"Aurora, CO",University of Colorado,Post-Doctoral Fellow - Pietras Lab,
1380,"Louisville, CO 80027","Nexant, Inc.",Senior Project Engineer,
1381,"Boulder, CO",Ball Aerospace,Senior Engineer-Mechanical (Mechanisms Focused) (664866),
1382,"Boulder, CO",Ball Aerospace,Machinist Prototype Sr - (664396),
1383,"Boulder, CO",Ball Aerospace,Senior Technical Specialist-Vibration (665136),
1384,"Westminster, CO",Ball Aerospace,Technician II-Harness & Wiring (HPC) (665054),
1385,"Boulder, CO",Ball Aerospace,Prototype Machinist - 2nd Shift (664079),
1386,"Westminster, CO",Ball Aerospace,Associate Electrical Engineer (664425),
1387,"Westminster, CO",Ball Aerospace,Senior Project Engineer - Mechanical (664962),
1388,"Boulder, CO",Ball Aerospace,Engineer Associate-Mechanical (664896),
1389,"Westminster, CO",Ball Aerospace,Senior Test Engineer-Tactical Solutions Electro Optical Test...,
1390,"Westminster, CO",Ball Aerospace,Technician I-Test (RF) (664884) ACTIVE SECRET CLEARANCE REQU...,
1391,"Westminster, CO",Ball Aerospace,FPGA & Digital Design Engineer II (664566),
1392,"Broomfield, CO",Ball Aerospace,Program Management Team Lead (664936),
1393,"Boulder, CO",Ball Aerospace,Manufacturing Engineer I (662695) CURRENT TOP SECRET CLEARAN...,
1394,"Boulder, CO",Ball Aerospace,Electrical Engineer II-Spacecraft Command & Data Handling (6...,
1395,"Denver, CO",Burns & McDonnell,Senior Electrical Engineer,
1396,"Denver, CO 80202 (Lodo area)","Kleinfelder, Inc.",Civil Engineer,
1397,"Boulder, CO",Ball Aerospace,Technical Specialist II-Test - Program Operations (663440) S...,
1398,"Denver, CO 80202 (Lodo area)",Kleinfelder,Gas Transmission & Distribution Staff Engineer,
1399,"Boulder, CO",Ball Aerospace,Space Telescope Operations Senior Engineer (665062),
1400,"Denver, CO",Burns & McDonnell,Senior Mechanical Engineer - Mission Critical,
1401,"Westminster, CO",Ball Aerospace,Engineer II-Electronic Manufacturing (664270),
1402,"Boulder, CO",Ball Aerospace,RF Communications (Telecom) Project Engineer I (662483),
1403,"Boulder, CO 80301",Battelle,IT Infrastructure Systems Administrator II,
1404,"Boulder, CO",Ball Aerospace,Senior Engineer- System Integration & Test (664350),
1405,"Boulder, CO 80301",Battelle,Java Developer IV,
1406,"Westminster, CO",Ball Aerospace,Principal Phased Array Circuit Design RF Engineer (663614),
1407,"Denver, CO 80202 (Lodo area)","Kleinfelder, Inc.",Gas Transmission & Distribution Staff Engineer,
1408,"Boulder, CO",Xcalar,DevOps Engineer,
1409,"Boulder, CO",Ball Aerospace,Manufacturing Engineer II (662706) TOP SECRET CLEARANCE REQU...,
1410,"Centennial, CO",Rincon Research Corporation,FPGA Engineer 3,
1411,"Boulder, CO",Ball Aerospace,Electrical Engineer II-Spacecraft Command & Data Handling (6...,
1412,"Denver, CO 80202 (Lodo area)","Kleinfelder, Inc.",Gas Transmission & Distribution Staff Engineer,
1413,"Boulder, CO 80301",Battelle,IT Infrastructure Systems Administrator II,
1414,"Westminster, CO",Ball Aerospace,Structural Engineer - Electronics (665490),
1415,"Boulder, CO",Ball Aerospace,Detector Engineering Systems Engineer (663687),
1416,"Boulder, CO",Ball Aerospace,Technical Specialist Principal-Test - Program Operations (66...,
1417,"Westminster, CO",Ball Aerospace,Senior Project Engineer - Mechanical (664960) - Current Secu...,
1418,"Boulder, CO",Ball Aerospace,Ground Systems Engineer I (664351) - Security clearance requ...,
1419,"Boulder, CO",Ball Aerospace,Algorithm & Analysis Software Engineer II (665013) - Securit...,
1420,"Boulder, CO",Ball Aerospace,Manufacturing Engineer II (662706) TOP SECRET CLEARANCE REQU...,
1421,"Westminster, CO",Ball Aerospace,Sr. Electronics Packaging Engineer (664527),
1422,"Denver, CO 80202 (Lodo area)",Comcast,"Senior Manager, VIPER Engineering Effectiveness",
1423,"Lafayette, CO",Ball Aerospace,Management Information Systems Business Process Analyst II (...,
1424,"Boulder, CO 80301",Battelle,IT Infrastructure Systems Administrator II,
1425,"Westminster, CO",Ball Aerospace,Senior Project Engineer - Mechanical (664962),
1426,"Westminster, CO",Ball Aerospace,FPGA & Digital Design Engineer II (664566),
1427,"Westminster, CO",Ball Aerospace,Principal Layout & Packaging Engineer (664265),
1428,"Boulder, CO",Ball Aerospace,Ground Systems Engineer I (664351) - Security clearance requ...,
1429,"Westminster, CO",Ball Aerospace,Project Engineer I - Electrical Harness (664722),
1430,"Broomfield, CO",Ball Aerospace,Principal Structures Design Engineer-Mechanical (664557),
1431,"Boulder, CO",Ball Aerospace,Technician III-Test - RF System Integration (663409),
1432,"Boulder, CO",Ball Aerospace,Engineer Senior-Software Quality Assurance (663353),
1433,"Westminster, CO",Ball Aerospace,Principal Phased Array Circuit Design RF Engineer (663614),
1434,"Denver, CO",Burns & McDonnell,Senior Pharmaceutical / Life Sciences Electrical Engineer,
1435,"Boulder, CO",Ball Aerospace,Principal Optical Engineer - Stray Light (664830),
1436,"Boulder, CO",Ball Aerospace,Engineer II-Thermal (663447) Security Clearance Required,
1437,"Boulder, CO",Ball Aerospace,RF Communications (Telecom) Project Engineer I (662483),
1438,"Westminster, CO",Ball Aerospace,Electrical Engineer I - Electrical Systems Harness Design (6...,
1439,"Boulder, CO",Ball Aerospace,"Senior Engineer-Guidance, Navigation & Control (GN C ) - Sec...",
1440,"Boulder, CO",Ball Aerospace,Spacecraft Systems Senior Engineer (662923) - Security clear...,
1441,"Denver, CO",Burns & McDonnell,Staff Electrical Engineer - Water,
1442,"Boulder, CO",Ball Aerospace,Principal Optical Engineer - Stray Light (664830),
1443,"Boulder, CO",Ball Aerospace,Sr. Spacecraft Mechanical Engineering Lead (664591),
1444,"Denver, CO",Burns & McDonnell,Senior Electrical Engineer - Mission Critical,
1445,"Boulder, CO",Ball Aerospace,Engineer I-Electrical Special Test Equipment (664912),
1446,"Westminster, CO",Ball Aerospace,Principal Layout & Packaging Engineer (664265),
1447,"Boulder, CO",Ball Aerospace,Engineer II-Thermal (663447) Security Clearance Required,
1448,"Boulder, CO",Ball Aerospace,Engineer II – Mechanical – Current Security Clearance Requir...,
1449,"Boulder, CO",Ball Aerospace,Principal Engineer-Mechanical (Mechanisms Focused) (664603),
1450,"Boulder, CO",Ball Aerospace,"Guidance, Navigation & Controls-Senior Project Engineer (663...",
1451,"Boulder, CO",Ball Aerospace,Engineer II-Instrument Systems Engineer (663131),
1452,"Boulder, CO",Ball Aerospace,Senior Engineer-Spacecraft Lead (664006),
1453,"Boulder, CO",Ball Aerospace,Detector Engineering Systems Engineer (663686) - Security Cl...,
1454,"Boulder, CO",Ball Aerospace,Senior Engineer-Mechanical (Mechanisms Focused) (664866),
1455,"Boulder, CO",Ball Aerospace,"Engineer II-Guidance, Navigation & Control (GN C ) - Securit...",
1456,"Boulder, CO",Ball Aerospace,Spacecraft Requirements & Verification Systems-Senior Engine...,
1457,"Boulder, CO",Ball Aerospace,Engineer II - Electromagnetic Compliance Engineer (663783),
1458,"Boulder, CO",Ball Aerospace,Chief Engineer-Spacecraft Lead (663709) - Security clearance...,
1459,"Westminster, CO",Ball Aerospace,Sr. Electrical Systems Engineer (665144),
1460,"Boulder, CO",Ball Aerospace,Principal Systems Assurance Radiation Effects Engineer (6617...,
1461,"Boulder, CO",Ball Aerospace,Senior Engineer- System Integration & Test (664350),
1462,"Boulder, CO",Ball Aerospace,Spacecraft Systems Principal Engineer (664864) - Security cl...,
1463,"Boulder, CO",Ball Aerospace,Spacecraft Requirements & Verification Systems-Senior Engine...,
1464,"Boulder, CO",Ball Aerospace,Engineer II-Electrical Power Systems (EPS) (665072),
1465,"Westminster, CO",Ball Aerospace,Sr. Electrical Systems Engineer (665144),
1466,"Westminster, CO",Ball Aerospace,Sr. Electrical Engineer - Digital Design (664573),
1467,"Boulder, CO",Ball Aerospace,Detector Engineering Systems Engineer (663686) - Security Cl...,
1468,"Boulder, CO",Ball Aerospace,Engineer Principal - System Integration & Test (664537),
1469,"Westminster, CO",Ball Aerospace,Sr. Electrical Engineer - Spacecraft Systems (664511),
1470,"Boulder, CO",Ball Aerospace,Senior Engineer-Space Systems Simulators (663331),
1471,"Boulder, CO",Ball Aerospace,Principal Engineer-Space Systems Simulators (663330),
1472,"Westminster, CO",Ball Aerospace,Sr. Electrical Engineer - Spacecraft Systems (664511),
1473,"Boulder, CO",Ball Aerospace,Senior Electrical Engineer - Focal Plane Electronics (665833...,
1474,"Boulder, CO",Ball Aerospace,Principal Engineer-Space Systems (663273),
1475,"Boulder, CO",Ball Aerospace,Senior Engineer-Mission System Integration (664159)- Securit...,
1476,"Boulder, CO",Ball Aerospace,Senior Engineer-Spacecraft Lead (664005) - Security Clearanc...,
1477,"Broomfield, CO",Ball Aerospace,Sr. Electrical Engineer - EMI/EMC (664447) - Security Cleara...,
1478,"Boulder, CO",Ball Aerospace,Senior Engineer-Space Systems Simulators (663331),"$90,000 - $127,000 a year (Indeed est.)"
1479,"Boulder, CO",Ball Aerospace,RF Communications (Telecom) Project Engineer II (662650) - S...,
1480,"Boulder, CO",Ball Aerospace,Engineer Senior-Manufacturing (663882),"$86,000 - $120,000 a year (Indeed est.)"
1481,"Boulder, CO",Ball Aerospace,Senior Engineer-System Environmental Design & Test Thread Le...,
1482,"Boulder, CO",Ball Aerospace,Principal Systems Engineer-Spacecraft Propulsion (662811) -...,
1483,"Boulder, CO",Ball Aerospace,Principal Engineer-Space Systems Simulators (663330),
1484,"Westminster, CO",Ball Aerospace,Principal Phased Array Circuit Design RF Engineer (663614),
1485,"Westminster, CO",Ball Aerospace,Electrical Engineer II - Electrical System Engineer (664993),
1486,"Boulder, CO",Ball Aerospace,Principal Engineer - Spacecraft Requirements & Verification...,
1487,"Boulder, CO",Ball Aerospace,Senior Systems Engineer-Spacecraft Propulsion (662780) - Sec...,
1488,"Boulder, CO",Ball Aerospace,Senior Engineer-Spacecraft Bus Lead (662952) - Security clea...,
1489,"Westminster, CO",Ball Aerospace,Principal Antenna (Low Observable) Design RF Engineer (66475...,
1490,"Boulder, CO",Ball Aerospace,Satellite Ground System Software Senior Engineer (664847) -...,
1491,"Boulder, CO",Ball Aerospace,Principal Electrical Engineer - Focal Plane Electronics (665...,
1492,"Boulder, CO",Ball Aerospace,Engineer Principal-Electrical Power Systems (662772) - Secur...,
1493,"Boulder, CO",Ball Aerospace,Principal Engineer-Space Vehicle Lead (664058) - Security Cl...,
1494,"Boulder, CO",Ball Aerospace,Senior Engineer-Electrical Power Systems (662760) - Security...,
1495,"Boulder, CO",Ball Aerospace,Principal Engineer-Mission Systems Verification & Validation...,
1496,"Boulder, CO",Ball Aerospace,Satellite Ground System Software Senior Engineer (664847) -...,
1497,"Boulder, CO",Ball Aerospace,Principal Engineer-System Allocation and Verification Lead (...,
1498,"Boulder, CO",Ball Aerospace,Senior Engineer-Spacecraft Bus Lead (662952) - Security clea...,
1499,"Boulder, CO",Ball Aerospace,Principal Engineer - Spacecraft Requirements & Verification...,
1500,"Broomfield, CO",Ball Aerospace,Principal Engineer-Mission Systems Architect (665015) - Secu...,
1501,"Denver, CO",CitiusTech,Data Scientist,
1502,"Boulder, CO",Ball Aerospace,RF Communications (Telecom) Project Engineer II (662650) - S...,
1503,"Golden, CO 80401",Boston Market | Boston Market Corporation,Data Scientist,
1504,"Boulder, CO",Ball Aerospace,Principal Engineer-Concept of Operations (CONOPS) Thread Lea...,
1505,"Denver, CO",DataRobot,Customer Facing Data Scientist (Remote),
1506,"Aurora, CO",Arthur Lawrence,Data Scientist,
1507,"Denver, CO",Well Data Labs,Data Scientist,
1508,"Denver, CO 80202 (Lodo area)",Nexthealth,Sr. Data Scientist,
1509,"Boulder, CO",Ball Aerospace,Senior Engineer - Electro-Optical Payload Systems (664057) -...,
1510,"Denver, CO",DataRobot,"Data Scientist, Trusted AI",
1511,"Aurora, CO",University of Colorado School of Medicine,Data Specialist / Analyst,
1512,"Denver, CO",DataRobot,"Statistician/Data Scientist, Trusted AI",
1513,"Boulder, CO",Ball Aerospace,Principal Engineer-Electro-Optical Payload Systems (663982)...,
1514,"Denver, CO 80202 (Lodo area)",Ibotta,Data Scientist / Machine Learning Engineer,
1515,"Denver, CO 80202 (Lodo area)",Big Ladder Software,Computational Building Scientist,
1516,"Denver, CO",DataRobot,"Data Scientist, Telecom",
1517,"Lone Tree, CO",Eventus Solutions Group,Data Analyst,
1518,"Denver, CO",BudBux,Research Analyst,
1519,"Boulder, CO 80302",Gloo,Strategic Analytics Consultant,
1520,"Westminster, CO",Navarro Inc.,FUSRAP Environmental Scientist,
1521,"Golden, CO",Silver Bullet Water Treatment,Water Treatment Staff Engineer/Scientist Internship,
1522,"Boulder, CO",Delve,Cloud Data Scientist,
1523,"Boulder, CO",Ball Aerospace,Project Engineer Senior - Systems Integration & Test (663337...,
1524,"Louisville, CO",Gaia International Inc.,Data Science Analyst,
1525,"Golden, CO",xentity corporation,Data Science Analyst (Intern),
1526,"Denver, CO 80223 (Southwestern Denver area)",Cytoskeleton,Product Applications Scientist,
1527,"Denver, CO",ShaleApps,Data Scientist (ML/AI) – Logistics Network Optimization Algo...,
1528,"Denver, CO 80239",Mary's Management,Operations Manager - Nutritionals,
1529,"Denver, CO",xentity corporation,Data Science Analyst I,
1530,"Boulder, CO",KBI Biopharma,Scientist I - temporary,
1531,"Denver, CO 80239",Mary's Management,Marketing Associate,
1532,"Denver, CO 80202 (Lodo area)",Ibotta,Decision Scientist - Marketing,
1533,"Denver, CO",General Assembly,Data Science Instructor,
1534,"Boulder, CO 80301",CW Hemp,R&D Associate Scientist,
1535,"Denver, CO 80202 (Lodo area)",Ibotta,Sr Data Scientist / Machine Learning Engineer,
1536,"Denver, CO 80239",Mary's Management,Salesforce Administrative Assistant,
1537,"Boulder, CO",Talus Analytics,Data-Oriented Front-End Developer,
1538,"Denver, CO 80239",Mary's Management,Account Manager,
1539,"Westminster, CO","Plato BioPharma, Inc.","Associate Scientist II / Research Scientist, Physiology",
1540,"Denver, CO",xentity corporation,Data Analyst,
1541,"Boulder, CO",Delve,Business Analytics Analyst,
1542,"Boulder, CO",Spire,Data Assimilation Scientist,
1543,"Boulder, CO",Talus Analytics,Data-Oriented Full Stack Developer with Python Experience,
1544,"Denver, CO 80239",Mary's Management,Operations Manager - Nutritionals,
1545,"Boulder, CO",KBI Biopharma,Scientist I - temporary,
1546,"Denver, CO 80202 (Lodo area)",Ibotta,"Director of Product Management, Shopper Experience",
1547,"Westminster, CO","Plato BioPharma, Inc.","Associate Scientist II / Research Scientist, Physiology",
1548,"Denver, CO",xentity corporation,GIS Data Systems Analysts,
1549,"Denver, CO",CyberGRX,Senior Product Manager,
1550,"Boulder, CO 80302","Sensory, Inc",Research Scientist-Audio Vision (Emerging Technologies),
1551,"Denver, CO 80202 (Lodo area)",Big Ladder Software,Front-End JavaScript Developer,
