,location,company,turnstileLink,snip
7438,"Redmond, WA",Fred Hutchinson Cancer Research Center,Senior Business Planner - Modern Life & Devices,
7439,"Bellevue, WA 98004 (Downtown area)","Kleinfelder, Inc.",Senior Applied Science Engineer,
7440,"Seattle, WA 98107 (Ballard area)",BOEING,"Senior Software Engineer, Data Engineering",
7441,"Seattle, WA",University of Washington,BIOINFORMATICS SPECIALIST,
7442,"Seattle, WA",Facebook,"Experience Management Scientist, Employee Experience",
7443,"Seattle, WA 98109 (Westlake area)",Microsoft,"Sr. Manager, Business Operations",
7444,"Seattle, WA 98164 (Downtown area)",University of Washington,AI and Analytics Research Software Engineer,
7445,"Seattle, WA 98109 (Westlake area)",Deloitte,Project Coordinator II – Partnerships and Health Research,
7446,"Redmond, WA",Fred Hutchinson Cancer Research Center,Entry Level Construction Materials Testing Technician,
7447,"Seattle, WA",Logic20/20,Business Operations Specialist - Supplier Performance,
7448,"Seattle, WA",Google,CONTACT CENTER TRAINING SPECIALIST,
7449,"Seattle, WA 98101 (Downtown area)",Microsoft,"Manager, Software Engineering - Machine Learning",
7450,"Redmond, WA",Microsoft,Sr. Applied Machine Learning Engineer,
7451,"Seattle, WA",Facebook,ELECTRONICS ENGINEER,
7452,"Seattle, WA 98104 (First Hill area)",Getty Images,Human Capital Senior Consultant - Data Scientist,
7453,"Seattle, WA 98109 (Westlake area)",Facebook,"Research Technician I-II, Immunology",
7454,"Seattle, WA 98115 (Wedgwood area)",SoFi,Machine Learning Engineer(s),
7455,"Kirkland, WA 98033 (Highlands area)",Fred Hutchinson Cancer Research Center,"Engineering Resident, University Graduate (Fixed-Term Employ...",
7456,"Bellevue, WA 98004 (Downtown area)",Facebook,Senior Applied Science Engineer,
7457,"Bellevue, WA 98004 (Downtown area)","Seattle Genetics, Inc.",UX Content Designer,
7458,"Redmond, WA",Zillow Group,"Research Intern, Machine Learning - Graphics (PhD University...",
7459,"Seattle, WA 98103 (Green Lake - Wallingford area)",Microsoft,"Senior Machine Learning Engineer, Search",
7460,"Seattle, WA 98101 (Downtown area)",Facebook,"Applied Research Scientist, Speech Recognition Acoustic Mode...",
7461,"Seattle, WA","Kleinfelder, Inc.","Director, Big Data Architect",
7462,"Seattle, WA 98109 (Westlake area)","Milestone Technologies, Inc.",Post-Doctoral Research Fellow,
7463,"Redmond, WA",Fred Hutchinson Cancer Research Center,FRL Tracking Software Engineer,
7464,"Bothell, WA",CDK Global,Summer Intern – MBA Commercial Global Market Insights,
7465,"Seattle, WA 98101 (Downtown area)",Meso Scale Diagnostics,"Senior Manager, Applied Scientist",
7466,"Redmond, WA",Rover,Principal Software Engineer,
7467,"Redmond, WA",Washington State Patrol,FRL Software Engineer - Optics/Metrology,
7468,"Redmond, WA",Penn Schoen Berland,Entry Level Construction Materials Testing Technician,
7469,"Seattle, WA",Microsoft,Prototype Shipping & Receiving Associate,
7470,"Seattle, WA 98109 (Westlake area)",Facebook,"Post-Doctoral Research Fellow, Health Outcomes",
7471,"Seattle, WA 98104 (First Hill area)",Convoy,Analytics Implementation Engineer,
